,BACB requirements,Years certified,Years supervisor,Area of study - Selected Choice,Area of study - Other - Text,Job classification - Selected Choice,Job classification - Other - Text,Place of employment - Selected Choice,Place of employment - Other - Text,State,Supervision mode - Selected Choice,Supervision mode - Other - Text,Supervision format,Supervision training - Selected Choice,Supervision training - Other - Text,100% fieldwork candidates,100% fieldwork pass rate,Discontinued fieldwork,Supervision resources - Selected Choice,Supervision resources - Other - Text,Confirm required skill set,Number of candidates,Literature for new competency,Professional groups,Outside training area (yes/no),Credentialing requirements,Training and supervision,Allotted hours,Number of clients,60% fieldwork hours,Who dictates caseload,Supervise RBTs (yes/no),RBT supervision %,Peer evaluate,Past 12 months candidates,Supervision schedule,Scheduled hours,Practice skill set,Written supervision contract,Positive and corrective feedback,Supervision termination clause,Behavior skills training,Discourage distractions,Evaluate supervisee performance,Performance expectations,Written evaluation system,Supervision fieldwork protocol source - Selected Choice,Supervision fieldwork protocol source - Other - Text,Document feedback,Review supervision contract,Evaluate client performance,Return communications within 48,Supervision fidelity,Instructions and demonstration,Take baseline,Detect barriers to supervision,BST case presentation,Send agenda,Immediate feedback,Continue relationship,Observe body language,Schedule contacts,Maintain positive rapport,Self-assess interpersonal skills,Group supervision,Create group activities,Supervisory study groups,Include ethics,Arrive on time,Discuss how to give feedback,Schedule direct observations,Schedule standing appointments,Review literature,Meeting notes,Attend conferences,Peer review opportunity,Participate in peer review,Seek mentorship,Area of study,Job classification,Place of employment,Supervision mode,Supervision training,Supervision resources,Supervision fieldwork protocol source,PECC 5.01,PECC 5.02,PECC 5.03,PECC 5.04,PECC 5.05,PECC 5.06,PECC 5.07,MISC
545,Yes,0-2 years,0-2 years,Behavior analysis,,Behavior analyst,,Home-based,,,,,,,,,,,,,3.919597989949749,,4.0125628140703515,2.8542713567839195,,4.441860465116279,4.523255813953488,,,3.728723404255319,,,,2.221311475409836,,3.298882681564246,,4.050279329608938,4.902234636871508,4.70391061452514,4.877492877492878,4.304843304843305,4.527065527065527,3.341880341880342,4.538461538461538,3.6588921282798834,,,3.8338192419825075,4.723032069970846,3.227405247813411,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Behavior analysis,Behavior analyst,Home-based,,,,,3.642879118197974,4.051201141979557,3.9849386597793437,3.6955368258026526,4.335404718386514,4.236289218947548,3.451015155418285,3.876639209566636
546,Yes,>5 years,>5 years,Psychology,,Other,,Clinic,,Northeast,"University,Agency",,Individual fieldwork,"Internet based continuing education,Conferences or workshops",,30.0,23.0,0.0,"Training on supervision practices,Monetary compensation,Supervision Curriculum",,5.0,4-7 candidates,5.0,5.0,No,4.441860465116279,4.523255813953488,6-10 hours a week,12+ clients/consumers,5.0,Self,No,I do not supervise RBTs.,3.0,1-3 candidates,3.298882681564246,,4.050279329608938,4.902234636871508,4.70391061452514,4.877492877492878,4.304843304843305,4.527065527065527,3.341880341880342,4.538461538461538,3.6588921282798834,,,3.8338192419825075,4.723032069970846,3.227405247813411,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Psychology,Other,Clinic,"University,Agency","Internet based continuing education,Conferences or workshops","Training on supervision practices,Monetary compensation,Supervision Curriculum",,4.26951228402712,4.369020290915728,4.525139664804469,3.6955368258026526,4.335404718386514,4.236289218947548,3.451015155418285,3.955484021887207
547,Yes,,,,,,,,,,,,,,,,,,,,3.919597989949749,,4.0125628140703515,2.8542713567839195,,4.441860465116279,4.523255813953488,,,3.728723404255319,,,,2.221311475409836,,3.298882681564246,,4.050279329608938,4.902234636871508,4.70391061452514,4.877492877492878,4.304843304843305,4.527065527065527,3.341880341880342,4.538461538461538,3.6588921282798834,,,3.8338192419825075,4.723032069970846,3.227405247813411,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,,,,,,,,3.642879118197974,4.051201141979557,3.9849386597793437,3.6955368258026526,4.335404718386514,4.236289218947548,3.451015155418285,3.876639209566636
548,Yes,>5 years,>5 years,Education,,Behavior analyst,,Home-based,,West,Agency,,Individual fieldwork,"Institution based course work,Internet based continuing education,Conferences or workshops",,0.0,,,,,3.919597989949749,,4.0125628140703515,2.8542713567839195,,4.441860465116279,4.523255813953488,,,3.728723404255319,,,,2.221311475409836,,3.298882681564246,,4.050279329608938,4.902234636871508,4.70391061452514,4.877492877492878,4.304843304843305,4.527065527065527,3.341880341880342,4.538461538461538,3.6588921282798834,,,3.8338192419825075,4.723032069970846,3.227405247813411,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Education,Behavior analyst,Home-based,Agency,"Institution based course work,Internet based continuing education,Conferences or workshops",,,3.642879118197974,4.051201141979557,3.9849386597793437,3.6955368258026526,4.335404718386514,4.236289218947548,3.451015155418285,3.876639209566636
549,Yes,0-2 years,0-2 years,Behavior analysis,,Other,,Other,,Midwest,Agency,,Intensive practicum,Internet based continuing education,,0.0,,,Supervision Curriculum,,5.0,1-3 candidates,4.0,4.0,No,4.441860465116279,4.523255813953488,,,3.728723404255319,,,,2.221311475409836,,3.298882681564246,,4.050279329608938,4.902234636871508,4.70391061452514,4.877492877492878,4.304843304843305,4.527065527065527,3.341880341880342,4.538461538461538,3.6588921282798834,,,3.8338192419825075,4.723032069970846,3.227405247813411,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Behavior analysis,Other,Other,Agency,Internet based continuing education,Supervision Curriculum,,3.8695122840271194,4.051201141979557,4.525139664804469,3.6955368258026526,4.335404718386514,4.236289218947548,3.451015155418285,3.876639209566636
550,Yes,3-5 years,0-2 years,Behavior analysis,,Behavior analyst,,Clinic,,South,Agency,,Individual fieldwork,"Internet based continuing education,Conferences or workshops",,0.0,0.0,0.0,"Training on supervision practices,Performance feedback",,3.0,1-3 candidates,3.0,1.0,No,4.441860465116279,4.523255813953488,0 hours,12+ clients/consumers,3.0,Employer,Yes,10% of patient's direct services,2.0,1-3 candidates,3.0,1-5 hours a week,3.0,5.0,5.0,5.0,4.0,4.0,2.0,3.0,3.0,Other,Our agency provides curriculum,4.0,5.0,4.0,5.0,3.0,5.0,2.0,4.0,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Behavior analysis,Behavior analyst,Clinic,Agency,"Internet based continuing education,Conferences or workshops","Training on supervision practices,Performance feedback",OtherOur agency provides curriculum,3.0695122840271196,3.794299620524666,3.0,3.634568164833992,4.12716049382716,4.280864197530865,3.3730650154798765,3.765705131279205
551,Yes,3-5 years,3-5 years,Psychology,,Psychologist,,Home-based,,,,,,,,,,,,,3.919597989949749,,4.0125628140703515,2.8542713567839195,,4.441860465116279,4.523255813953488,,,3.728723404255319,,,,2.221311475409836,,3.298882681564246,,4.050279329608938,4.902234636871508,4.70391061452514,4.877492877492878,4.304843304843305,4.527065527065527,3.341880341880342,4.538461538461538,3.6588921282798834,,,3.8338192419825075,4.723032069970846,3.227405247813411,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Psychology,Psychologist,Home-based,,,,,3.642879118197974,4.051201141979557,3.9849386597793437,3.6955368258026526,4.335404718386514,4.236289218947548,3.451015155418285,3.876639209566636
552,Yes,3-5 years,3-5 years,Behavior analysis,,Behavior analyst,,Clinic,,,,,,,,,,,,,3.919597989949749,,4.0125628140703515,2.8542713567839195,,4.441860465116279,4.523255813953488,,,3.728723404255319,,,,2.221311475409836,,3.298882681564246,,4.050279329608938,4.902234636871508,4.70391061452514,4.877492877492878,4.304843304843305,4.527065527065527,3.341880341880342,4.538461538461538,3.6588921282798834,,,3.8338192419825075,4.723032069970846,3.227405247813411,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Behavior analysis,Behavior analyst,Clinic,,,,,3.642879118197974,4.051201141979557,3.9849386597793437,3.6955368258026526,4.335404718386514,4.236289218947548,3.451015155418285,3.876639209566636
553,Yes,>5 years,>5 years,Psychology,,Behavior analyst,,Other,,,,,,,,,,,,,3.919597989949749,,4.0125628140703515,2.8542713567839195,,4.441860465116279,4.523255813953488,,,3.728723404255319,,,,2.221311475409836,,3.298882681564246,,4.050279329608938,4.902234636871508,4.70391061452514,4.877492877492878,4.304843304843305,4.527065527065527,3.341880341880342,4.538461538461538,3.6588921282798834,,,3.8338192419825075,4.723032069970846,3.227405247813411,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Psychology,Behavior analyst,Other,,,,,3.642879118197974,4.051201141979557,3.9849386597793437,3.6955368258026526,4.335404718386514,4.236289218947548,3.451015155418285,3.876639209566636
554,Yes,3-5 years,3-5 years,Behavior analysis,,Behavior analyst,,Home-based,,Midwest,Individual private practice,,Group and Individual fieldwork,"Institution based course work,Internet based continuing education,Conferences or workshops,Individual mentoring",,0.0,,,"Administrative assistance,Training on supervision practices,Performance feedback",,3.919597989949749,,4.0125628140703515,2.8542713567839195,,4.441860465116279,4.523255813953488,,,3.728723404255319,,,,2.221311475409836,,3.298882681564246,,4.050279329608938,4.902234636871508,4.70391061452514,4.877492877492878,4.304843304843305,4.527065527065527,3.341880341880342,4.538461538461538,3.6588921282798834,,,3.8338192419825075,4.723032069970846,3.227405247813411,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Behavior analysis,Behavior analyst,Home-based,Individual private practice,"Institution based course work,Internet based continuing education,Conferences or workshops,Individual mentoring","Administrative assistance,Training on supervision practices,Performance feedback",,3.642879118197974,4.051201141979557,3.9849386597793437,3.6955368258026526,4.335404718386514,4.236289218947548,3.451015155418285,3.876639209566636
555,Yes,>5 years,3-5 years,Education,,Professor,,University or college,,,,,,,,,,,,,3.919597989949749,,4.0125628140703515,2.8542713567839195,,4.441860465116279,4.523255813953488,,,3.728723404255319,,,,2.221311475409836,,3.298882681564246,,4.050279329608938,4.902234636871508,4.70391061452514,4.877492877492878,4.304843304843305,4.527065527065527,3.341880341880342,4.538461538461538,3.6588921282798834,,,3.8338192419825075,4.723032069970846,3.227405247813411,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Education,Professor,University or college,,,,,3.642879118197974,4.051201141979557,3.9849386597793437,3.6955368258026526,4.335404718386514,4.236289218947548,3.451015155418285,3.876639209566636
556,Yes,0-2 years,0-2 years,Education,,Behavior analyst,,Clinic,,South,Agency,,Individual fieldwork,Other,8 hour supervision module,0.0,,,Protected office planning time,,4.0,1-3 candidates,3.0,1.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,12+ clients/consumers,4.0,Employer,Yes,5% of patient's direct services,1.0,1-3 candidates,1.0,1-5 hours a week,4.0,5.0,5.0,5.0,3.0,3.0,1.0,1.0,4.0,Other,my own experience,1.0,4.0,1.0,5.0,1.0,5.0,1.0,4.0,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Education,Behavior analyst,Clinic,Agency,Other8 hour supervision module,Protected office planning time,Othermy own experience,3.0695122840271196,3.544299620524666,4.0,3.434568164833992,3.527160493827161,3.9475308641975304,1.8730650154798762,3.6887820543561287
557,Yes,3-5 years,3-5 years,Behavior analysis,,Behavior analyst,,Home-based,,,,,,,,,,,,,3.919597989949749,,4.0125628140703515,2.8542713567839195,,4.441860465116279,4.523255813953488,,,3.728723404255319,,,,2.221311475409836,,3.298882681564246,,4.050279329608938,4.902234636871508,4.70391061452514,4.877492877492878,4.304843304843305,4.527065527065527,3.341880341880342,4.538461538461538,3.6588921282798834,,,3.8338192419825075,4.723032069970846,3.227405247813411,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Behavior analysis,Behavior analyst,Home-based,,,,,3.642879118197974,4.051201141979557,3.9849386597793437,3.6955368258026526,4.335404718386514,4.236289218947548,3.451015155418285,3.876639209566636
558,Yes,3-5 years,3-5 years,Education,,Behavior analyst,,Clinic,,West,Individual private practice,,Individual fieldwork,"Internet based continuing education,Individual mentoring",,0.0,0.0,0.0,Performance feedback,,1.0,1-3 candidates,2.0,1.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,7-11 clients/consumer,1.0,Employer,Yes,10% of patient's direct services,1.0,1-3 candidates,1.0,0 hours,1.0,5.0,5.0,5.0,1.0,5.0,1.0,1.0,2.0,Graduate course work material,,4.0,3.0,4.0,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Education,Behavior analyst,Clinic,Individual private practice,"Internet based continuing education,Individual mentoring",Performance feedback,Graduate course work material,2.8695122840271194,2.794299620524666,1.0,3.0345681648339915,3.3271604938271606,4.03685222148296,3.0586937579948463,3.742904578538533
559,Yes,3-5 years,0-2 years,Behavior analysis,,Behavior analyst,,Home-based,,,,,,,,,,,,,3.919597989949749,,4.0125628140703515,2.8542713567839195,,4.441860465116279,4.523255813953488,,,3.728723404255319,,,,2.221311475409836,,3.298882681564246,,4.050279329608938,4.902234636871508,4.70391061452514,4.877492877492878,4.304843304843305,4.527065527065527,3.341880341880342,4.538461538461538,3.6588921282798834,,,3.8338192419825075,4.723032069970846,3.227405247813411,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Behavior analysis,Behavior analyst,Home-based,,,,,3.642879118197974,4.051201141979557,3.9849386597793437,3.6955368258026526,4.335404718386514,4.236289218947548,3.451015155418285,3.876639209566636
560,Yes,0-2 years,0-2 years,Psychology,,Behavior analyst,,Clinic,,Midwest,Agency,,Intensive practicum,"Institution based course work,Individual mentoring",,3.0,1.0,0.0,"Protected office planning time,Administrative assistance,Training on supervision practices,Performance feedback,Monetary compensation,Supervision Curriculum",,5.0,1-3 candidates,4.0,4.0,No,4.441860465116279,4.523255813953488,16+ hours a week,7-11 clients/consumer,4.0,,,,2.221311475409836,,3.298882681564246,,4.050279329608938,4.902234636871508,4.70391061452514,4.877492877492878,4.304843304843305,4.527065527065527,3.341880341880342,4.538461538461538,3.6588921282798834,,,3.8338192419825075,4.723032069970846,3.227405247813411,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Psychology,Behavior analyst,Clinic,Agency,"Institution based course work,Individual mentoring","Protected office planning time,Administrative assistance,Training on supervision practices,Performance feedback,Monetary compensation,Supervision Curriculum",,3.8695122840271194,4.119020290915728,4.525139664804469,3.6955368258026526,4.335404718386514,4.236289218947548,3.451015155418285,3.8870729247875855
561,Yes,>5 years,>5 years,Counseling,,Behavior analyst,,Clinic,,South,"University,Agency,Individual private practice",,Group and Individual fieldwork,"Internet based continuing education,Conferences or workshops,Individual mentoring",,3.0,3.0,0.0,"Administrative assistance,Training on supervision practices,Monetary compensation,Supervision Curriculum",,3.0,1-3 candidates,4.0,5.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,1-3 clients/consumers,3.0,Self,Yes,10% of patient's direct services,3.0,1-3 candidates,4.0,1-5 hours a week,4.0,5.0,4.0,5.0,4.0,5.0,2.0,4.0,4.0,"Graduate course work material,Mentorship",,4.0,5.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,5.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,4.0,Yes,4.0,3.0,Counseling,Behavior analyst,Clinic,"University,Agency,Individual private practice","Internet based continuing education,Conferences or workshops,Individual mentoring","Administrative assistance,Training on supervision practices,Monetary compensation,Supervision Curriculum","Graduate course work material,Mentorship",4.3930232558139535,4.0,3.5,3.6,4.2,3.8333333333333335,2.5,3.6923076923076925
562,Yes,>5 years,>5 years,Education,,Behavior analyst,,Other,,West,Agency,,Group and Individual fieldwork,Internet based continuing education,,0.0,,,Monetary compensation,,2.0,1-3 candidates,4.0,3.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,12+ clients/consumers,2.0,Employer,Yes,5% of patient's direct services,2.0,1-3 candidates,5.0,6-10 hours a week,4.0,5.0,5.0,5.0,5.0,3.0,2.0,5.0,3.0,Mentorship,,5.0,5.0,3.0,5.0,3.0,5.0,1.0,4.0,3.0,1.0,3.0,3.0,4.0,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Education,Behavior analyst,Other,Agency,Internet based continuing education,Monetary compensation,Mentorship,3.6695122840271197,4.044299620524666,3.0,3.8345681648339918,4.2,4.166666666666667,3.1230650154798765,3.5033594522668596
563,Yes,>5 years,3-5 years,Education,,Behavior analyst,,Home-based,,South,Agency,,Group and Individual fieldwork,"Institution based course work,Internet based continuing education,Conferences or workshops,Individual mentoring",,3.0,3.0,0.0,"Protected office planning time,Administrative assistance,Training on supervision practices,Supervision Curriculum",,5.0,1-3 candidates,5.0,2.0,Yes,5.0,5.0,6-10 hours a week,1-3 clients/consumers,4.0,Self,Yes,5% of patient's direct services,3.0,4-7 candidates,1.0,6-10 hours a week,4.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,"Graduate course work material,Mentorship,Live CEU events,Online CEU training",,4.0,5.0,1.0,5.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,3.0,5.0,2.0,4.0,5.0,5.0,No,3.3248407643312103,3.0,Education,Behavior analyst,Home-based,Agency,"Institution based course work,Internet based continuing education,Conferences or workshops,Individual mentoring","Protected office planning time,Administrative assistance,Training on supervision practices,Supervision Curriculum","Graduate course work material,Mentorship,Live CEU events,Online CEU training",4.0,3.5,4.5,4.2,4.8,4.5,2.75,4.204801567858893
564,Yes,>5 years,3-5 years,Psychology,,Behavior analyst,,Other,,Northeast,Other,school based,Individual fieldwork,"Internet based continuing education,Conferences or workshops,Individual mentoring",,5.0,5.0,0.0,Other,none,5.0,1-3 candidates,5.0,5.0,No,4.441860465116279,4.523255813953488,0 hours,12+ clients/consumers,5.0,Employer,No,I do not supervise RBTs.,2.0,4-7 candidates,3.0,1-5 hours a week,5.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,"Graduate course work material,Mentorship",,4.0,5.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,Yes,3.0,4.0,Psychology,Behavior analyst,Other,Otherschool based,"Internet based continuing education,Conferences or workshops,Individual mentoring",Othernone,"Graduate course work material,Mentorship",3.9930232558139536,4.25,5.0,3.2,4.6,3.8333333333333335,4.0,3.4615384615384617
565,Yes,>5 years,>5 years,Behavior analysis,,Behavior analyst,,Other,,West,"University,Agency",,Group and Individual fieldwork,"Institution based course work,Internet based continuing education,Conferences or workshops,Individual mentoring",,0.0,,,Protected office planning time,,1.0,1-3 candidates,3.0,1.0,Yes,5.0,5.0,1-5 hours a week,12+ clients/consumers,5.0,Self,Yes,20% of patient's direct services,4.0,1-3 candidates,5.0,1-5 hours a week,3.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,3.0,"Graduate course work material,Mentorship",,5.0,5.0,1.0,5.0,1.0,3.0,1.0,5.0,1.0,3.0,3.0,3.0,5.0,4.0,4.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,Yes,1.0,5.0,Behavior analysis,Behavior analyst,Other,"University,Agency","Institution based course work,Internet based continuing education,Conferences or workshops,Individual mentoring",Protected office planning time,"Graduate course work material,Mentorship",3.4,4.75,2.0,3.8,4.6,4.0,2.5,3.9615384615384617
566,Yes,>5 years,>5 years,Behavior analysis,,Behavior analyst,,Clinic,,South,"Agency,Individual private practice",,Individual fieldwork,"Institution based course work,Internet based continuing education,Conferences or workshops,Individual mentoring",,0.0,0.0,0.0,"Training on supervision practices,Performance feedback",,3.919597989949749,,4.0125628140703515,2.8542713567839195,,4.441860465116279,4.523255813953488,,,3.728723404255319,,,,2.221311475409836,,3.298882681564246,,4.050279329608938,4.902234636871508,4.70391061452514,4.877492877492878,4.304843304843305,4.527065527065527,3.341880341880342,4.538461538461538,3.6588921282798834,,,3.8338192419825075,4.723032069970846,3.227405247813411,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,Behavior analysis,Behavior analyst,Clinic,"Agency,Individual private practice","Institution based course work,Internet based continuing education,Conferences or workshops,Individual mentoring","Training on supervision practices,Performance feedback",,3.642879118197974,4.051201141979557,3.9849386597793437,3.6955368258026526,4.335404718386514,4.236289218947548,3.451015155418285,3.876639209566636
567,Yes,,,,,,,,,,,,,,,,,,,,3.919597989949749,,4.0125628140703515,2.8542713567839195,,4.441860465116279,4.523255813953488,,,3.728723404255319,,,,2.221311475409836,,3.298882681564246,,4.050279329608938,4.902234636871508,4.70391061452514,4.877492877492878,4.304843304843305,4.527065527065527,3.341880341880342,4.538461538461538,3.6588921282798834,,,3.8338192419825075,4.723032069970846,3.227405247813411,4.811377245508982,2.7425149700598803,4.5359281437125745,3.2065868263473054,4.389221556886228,3.6944444444444446,2.6358024691358026,4.280864197530864,4.08641975308642,4.404320987654321,4.368421052631579,4.8730650154798765,4.492260061919505,2.4953560371517027,2.4705882352941178,2.3824451410658307,4.6802507836990594,4.808777429467084,4.5266457680250785,4.64576802507837,4.230283911671925,4.302839116719243,3.55205047318612,4.252365930599369,,3.3248407643312103,3.6813880126182967,,,,,,,,3.642879118197974,4.051201141979557,3.9849386597793437,3.6955368258026526,4.335404718386514,4.236289218947548,3.451015155418285,3.876639209566636
